year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
1957,f,at,nl,6,,
1957,f,at,fr,0,,
1957,f,at,dk,0,,
1957,f,at,lu,3,,
1957,f,at,de,0,,
1957,f,at,it,0,,
1957,f,at,gb,1,,
1957,f,at,be,0,,
1957,f,at,ch,0,,
1957,f,at,at,0,,
1957,f,be,nl,5,,
1957,f,be,fr,2,,
1957,f,be,dk,0,,
1957,f,be,lu,0,,
1957,f,be,de,1,,
1957,f,be,it,1,,
1957,f,be,gb,1,,
1957,f,be,be,0,,
1957,f,be,ch,0,,
1957,f,be,at,0,,
1957,f,dk,nl,3,,
1957,f,dk,fr,2,,
1957,f,dk,dk,0,,
1957,f,dk,lu,0,,
1957,f,dk,de,0,,
1957,f,dk,it,1,,
1957,f,dk,gb,0,,
1957,f,dk,be,2,,
1957,f,dk,ch,2,,
1957,f,dk,at,0,,
1957,f,fr,nl,4,,
1957,f,fr,fr,0,,
1957,f,fr,dk,0,,
1957,f,fr,lu,0,,
1957,f,fr,de,6,,
1957,f,fr,it,0,,
1957,f,fr,gb,0,,
1957,f,fr,be,0,,
1957,f,fr,ch,0,,
1957,f,fr,at,0,,
1957,f,de,nl,1,,
1957,f,de,fr,6,,
1957,f,de,dk,0,,
1957,f,de,lu,0,,
1957,f,de,de,0,,
1957,f,de,it,0,,
1957,f,de,gb,0,,
1957,f,de,be,2,,
1957,f,de,ch,1,,
1957,f,de,at,0,,
1957,f,it,nl,1,,
1957,f,it,fr,0,,
1957,f,it,dk,3,,
1957,f,it,lu,4,,
1957,f,it,de,1,,
1957,f,it,it,0,,
1957,f,it,gb,0,,
1957,f,it,be,0,,
1957,f,it,ch,1,,
1957,f,it,at,0,,
1957,f,lu,nl,3,,
1957,f,lu,fr,4,,
1957,f,lu,dk,0,,
1957,f,lu,lu,0,,
1957,f,lu,de,0,,
1957,f,lu,it,1,,
1957,f,lu,gb,1,,
1957,f,lu,be,0,,
1957,f,lu,ch,1,,
1957,f,lu,at,0,,
1957,f,nl,nl,0,,
1957,f,nl,fr,1,,
1957,f,nl,dk,5,,
1957,f,nl,lu,0,,
1957,f,nl,de,0,,
1957,f,nl,it,2,,
1957,f,nl,gb,1,,
1957,f,nl,be,0,,
1957,f,nl,ch,0,,
1957,f,nl,at,1,,
1957,f,ch,nl,7,,
1957,f,ch,fr,0,,
1957,f,ch,dk,0,,
1957,f,ch,lu,0,,
1957,f,ch,de,0,,
1957,f,ch,it,0,,
1957,f,ch,gb,2,,
1957,f,ch,be,1,,
1957,f,ch,ch,0,,
1957,f,ch,at,0,,
1957,f,gb,nl,1,,
1957,f,gb,fr,2,,
1957,f,gb,dk,2,,
1957,f,gb,lu,1,,
1957,f,gb,de,0,,
1957,f,gb,it,2,,
1957,f,gb,gb,0,,
1957,f,gb,be,0,,
1957,f,gb,ch,0,,
1957,f,gb,at,2,,
1958,f,at,fr,7,,
1958,f,at,ch,0,,
1958,f,at,it,1,,
1958,f,at,se,1,,
1958,f,at,be,0,,
1958,f,at,at,0,,
1958,f,at,de,1,,
1958,f,at,dk,0,,
1958,f,at,nl,0,,
1958,f,at,lu,0,,
1958,f,be,fr,1,,
1958,f,be,ch,2,,
1958,f,be,it,4,,
1958,f,be,se,1,,
1958,f,be,be,0,,
1958,f,be,at,1,,
1958,f,be,de,1,,
1958,f,be,dk,0,,
1958,f,be,nl,0,,
1958,f,be,lu,0,,
1958,f,dk,fr,9,,
1958,f,dk,ch,0,,
1958,f,dk,it,0,,
1958,f,dk,se,0,,
1958,f,dk,be,1,,
1958,f,dk,at,0,,
1958,f,dk,de,0,,
1958,f,dk,dk,0,,
1958,f,dk,nl,0,,
1958,f,dk,lu,0,,
1958,f,fr,fr,0,,
1958,f,fr,ch,3,,
1958,f,fr,it,1,,
1958,f,fr,se,0,,
1958,f,fr,be,0,,
1958,f,fr,at,3,,
1958,f,fr,de,2,,
1958,f,fr,dk,1,,
1958,f,fr,nl,0,,
1958,f,fr,lu,0,,
1958,f,de,fr,1,,
1958,f,de,ch,0,,
1958,f,de,it,4,,
1958,f,de,se,0,,
1958,f,de,be,5,,
1958,f,de,at,0,,
1958,f,de,de,0,,
1958,f,de,dk,0,,
1958,f,de,nl,0,,
1958,f,de,lu,0,,
1958,f,it,fr,6,,
1958,f,it,ch,4,,
1958,f,it,it,0,,
1958,f,it,se,0,,
1958,f,it,be,0,,
1958,f,it,at,0,,
1958,f,it,de,0,,
1958,f,it,dk,0,,
