year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
1957,final,at,nl,at,nl,6,,
1957,final,at,fr,at,fr,0,,
1957,final,at,dk,at,dk,0,,
1957,final,at,lu,at,lu,3,,
1957,final,at,de,at,de,0,,
1957,final,at,it,at,it,0,,
1957,final,at,gb,at,gb,1,,
1957,final,at,be,at,be,0,,
1957,final,at,ch,at,ch,0,,
1957,final,at,at,at,at,0,,
1957,final,be,nl,be,nl,5,,
1957,final,be,fr,be,fr,2,,
1957,final,be,dk,be,dk,0,,
1957,final,be,lu,be,lu,0,,
1957,final,be,de,be,de,1,,
1957,final,be,it,be,it,1,,
1957,final,be,gb,be,gb,1,,
1957,final,be,be,be,be,0,,
1957,final,be,ch,be,ch,0,,
1957,final,be,at,be,at,0,,
1957,final,dk,nl,dk,nl,3,,
1957,final,dk,fr,dk,fr,2,,
1957,final,dk,dk,dk,dk,0,,
1957,final,dk,lu,dk,lu,0,,
1957,final,dk,de,dk,de,0,,
1957,final,dk,it,dk,it,1,,
1957,final,dk,gb,dk,gb,0,,
1957,final,dk,be,dk,be,2,,
1957,final,dk,ch,dk,ch,2,,
1957,final,dk,at,dk,at,0,,
1957,final,fr,nl,fr,nl,4,,
1957,final,fr,fr,fr,fr,0,,
1957,final,fr,dk,fr,dk,0,,
1957,final,fr,lu,fr,lu,0,,
1957,final,fr,de,fr,de,6,,
1957,final,fr,it,fr,it,0,,
1957,final,fr,gb,fr,gb,0,,
1957,final,fr,be,fr,be,0,,
1957,final,fr,ch,fr,ch,0,,
1957,final,fr,at,fr,at,0,,
1957,final,de,nl,de,nl,1,,
1957,final,de,fr,de,fr,6,,
1957,final,de,dk,de,dk,0,,
1957,final,de,lu,de,lu,0,,
1957,final,de,de,de,de,0,,
1957,final,de,it,de,it,0,,
1957,final,de,gb,de,gb,0,,
1957,final,de,be,de,be,2,,
1957,final,de,ch,de,ch,1,,
1957,final,de,at,de,at,0,,
1957,final,it,nl,it,nl,1,,
1957,final,it,fr,it,fr,0,,
1957,final,it,dk,it,dk,3,,
1957,final,it,lu,it,lu,4,,
1957,final,it,de,it,de,1,,
1957,final,it,it,it,it,0,,
1957,final,it,gb,it,gb,0,,
1957,final,it,be,it,be,0,,
1957,final,it,ch,it,ch,1,,
1957,final,it,at,it,at,0,,
1957,final,lu,nl,lu,nl,3,,
1957,final,lu,fr,lu,fr,4,,
1957,final,lu,dk,lu,dk,0,,
1957,final,lu,lu,lu,lu,0,,
1957,final,lu,de,lu,de,0,,
1957,final,lu,it,lu,it,1,,
1957,final,lu,gb,lu,gb,1,,
1957,final,lu,be,lu,be,0,,
1957,final,lu,ch,lu,ch,1,,
1957,final,lu,at,lu,at,0,,
1957,final,nl,nl,nl,nl,0,,
